,Country,AREA,AreaName,Region,DevName,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
309,Guam,909,Oceania,Micronesia,Developing regions,10,20,0,0,10,10,10,10,0,10,20,20,40,60,30,60,30,20,30,10,20,40,50,30,40,50,40,70,50,..,..,..,..,..
310,Guatemala,904,Latin America and the Caribbean,Central America,Developing regions,20,0,20,10,0,10,20,20,20,20,70,70,30,20,30,30,20,20,20,10,20,20,30,20,10,20,20,10,30,..,..,..,..,..
311,Guinea,903,Africa,Western Africa,Developing regions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,260,180,310,430,1250,950,880,1010,..,..,..,..,..
312,Guinea-Bissau,903,Africa,Western Africa,Developing regions,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..
313,Guyana,904,Latin America and the Caribbean,South America,Developing regions,10,10,20,0,10,10,10,20,20,0,10,10,0,0,10,0,10,10,10,10,0,10,10,10,10,10,10,0,10,..,..,..,..,..
314,Haiti,904,Latin America and the Caribbean,Caribbean,Developing regions,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..
315,Holy See,908,Europe,Southern Europe,Developed regions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..
316,Honduras,904,Latin America and the Caribbean,Central America,Developing regions,0,10,30,0,0,10,20,10,10,10,30,10,10,0,0,20,20,0,10,0,10,10,10,20,10,10,10,10,20,..,..,..,..,..
317,Hungary,908,Europe,Eastern Europe,Developed regions,100,100,90,90,100,130,160,230,270,220,260,310,400,270,300,360,400,320,250,300,330,450,430,430,350,390,380,480,520,..,..,..,..,..
318,Iceland,908,Europe,Northern Europe,Developed regions,50,40,50,50,30,30,40,40,10,20,40,40,40,40,20,30,30,20,10,30,20,20,30,30,30,50,30,40,50,..,..,..,..,..
